# Fix print output for fix E_print
Step 0 Total energy -322.649143323368
Step 10 Total energy -323.306585589214
Step 20 Total energy -323.869013694445
Step 30 Total energy -324.250211409698
Step 40 Total energy -324.685394828275
Step 50 Total energy -325.086969040183
Step 60 Total energy -325.359328723036
Step 70 Total energy -325.593273476206
Step 80 Total energy -325.947054560012
Step 90 Total energy -326.409444472397
Step 100 Total energy -326.862818327592
Step 110 Total energy -327.385553439853
Step 120 Total energy -327.941422096509
Step 130 Total energy -328.461514650774
Step 140 Total energy -328.999419665682
Step 150 Total energy -329.511865259808
Step 160 Total energy -329.940064784258
Step 170 Total energy -330.319602714723
Step 180 Total energy -330.691402519814
Step 190 Total energy -331.016549846745
Step 200 Total energy -331.251650521392
Step 210 Total energy -331.465702615955
Step 220 Total energy -331.708105008261
Step 230 Total energy -331.939460935946
Step 240 Total energy -332.153853084837
Step 250 Total energy -332.412284235127
Step 260 Total energy -332.687249835273
Step 270 Total energy -332.897276179939
Step 280 Total energy -333.070099292067
Step 290 Total energy -333.261379508969
Step 300 Total energy -333.441205407012
Step 310 Total energy -333.573356420998
Step 320 Total energy -333.698048294005
Step 330 Total energy -333.829632049138
Step 340 Total energy -333.945499894004
Step 350 Total energy -334.057821060025
Step 360 Total energy -334.176548800105
Step 370 Total energy -334.286144315912
Step 380 Total energy -334.372948138359
Step 390 Total energy -334.443010551148
Step 400 Total energy -334.506382238425
Step 410 Total energy -334.562908649894
Step 420 Total energy -334.615700009832
Step 430 Total energy -334.668465672161
Step 440 Total energy -334.716083692638
Step 450 Total energy -334.752812079905
Step 460 Total energy -334.783050454813
Step 470 Total energy -334.812617470504
Step 480 Total energy -334.84059899556
Step 490 Total energy -334.863767910539
Step 500 Total energy -334.880781028567
Step 510 Total energy -334.889989511106
Step 520 Total energy -334.89032970352
Step 530 Total energy -334.881359192369
Step 540 Total energy -334.862963976095
Step 550 Total energy -334.83566330543
Step 560 Total energy -334.7939303142
Step 570 Total energy -334.734098151126
Step 580 Total energy -334.667819099859
Step 590 Total energy -334.605104294362
Step 600 Total energy -334.544659350673
Step 610 Total energy -334.487027254075
Step 620 Total energy -334.440720477681
Step 630 Total energy -334.399756137675
Step 640 Total energy -334.348993677315
Step 650 Total energy -334.2823600956
Step 660 Total energy -334.210054375737
Step 670 Total energy -334.141050994094
Step 680 Total energy -334.067718615624
Step 690 Total energy -333.981797974296
Step 700 Total energy -333.893067169642
Step 710 Total energy -333.801798734694
Step 720 Total energy -333.714655803625
Step 730 Total energy -333.651418468074
Step 740 Total energy -333.608854101572
Step 750 Total energy -333.576074728166
Step 760 Total energy -333.547425671596
Step 770 Total energy -333.520066652495
Step 780 Total energy -333.493329566512
Step 790 Total energy -333.465743176683
Step 800 Total energy -333.431624190952
Step 810 Total energy -333.391281061964
Step 820 Total energy -333.35899216184
Step 830 Total energy -333.344621896616
Step 840 Total energy -333.343489483853
Step 850 Total energy -333.357395745034
Step 860 Total energy -333.387809692344
Step 870 Total energy -333.419018429553
Step 880 Total energy -333.445159099204
Step 890 Total energy -333.476334163648
Step 900 Total energy -333.520518281463
Step 910 Total energy -333.567597607869
Step 920 Total energy -333.609424941066
Step 930 Total energy -333.658829810149
Step 940 Total energy -333.723868558748
Step 950 Total energy -333.792962594929
Step 960 Total energy -333.857467162145
Step 970 Total energy -333.913345038427
Step 980 Total energy -333.961545567722
Step 990 Total energy -334.009398086927
Step 1000 Total energy -334.060809277231
Step 1010 Total energy -334.111966381276
Step 1020 Total energy -334.160032260115
Step 1030 Total energy -334.209088310789
Step 1040 Total energy -334.255625810882
Step 1050 Total energy -334.298859898557
Step 1060 Total energy -334.345294403158
Step 1070 Total energy -334.397755521126
Step 1080 Total energy -334.446849897627
Step 1090 Total energy -334.483069684825
Step 1100 Total energy -334.510672303469
Step 1110 Total energy -334.529126312849
Step 1120 Total energy -334.536069352156
Step 1130 Total energy -334.534478509377
Step 1140 Total energy -334.528684541263
Step 1150 Total energy -334.524512808476
Step 1160 Total energy -334.519139246781
Step 1170 Total energy -334.511961502027
Step 1180 Total energy -334.510265343476
Step 1190 Total energy -334.513359384432
Step 1200 Total energy -334.51231657009
Step 1210 Total energy -334.503463211612
Step 1220 Total energy -334.487004536319
Step 1230 Total energy -334.464566000769
Step 1240 Total energy -334.433530932611
Step 1250 Total energy -334.392424839734
Step 1260 Total energy -334.34780136075
Step 1270 Total energy -334.299187577014
Step 1280 Total energy -334.241262002988
Step 1290 Total energy -334.173974029424
Step 1300 Total energy -334.112865220035
Step 1310 Total energy -334.063498979055
Step 1320 Total energy -334.023616910788
Step 1330 Total energy -333.993987339162
Step 1340 Total energy -333.966947203234
Step 1350 Total energy -333.933450115585
Step 1360 Total energy -333.894146878399
Step 1370 Total energy -333.85331704132
Step 1380 Total energy -333.807134884681
Step 1390 Total energy -333.756332360363
Step 1400 Total energy -333.710363996668
Step 1410 Total energy -333.664420202623
Step 1420 Total energy -333.616680275101
Step 1430 Total energy -333.589886654734
Step 1440 Total energy -333.579358583133
Step 1450 Total energy -333.568942667975
Step 1460 Total energy -333.558611410918
Step 1470 Total energy -333.554998883833
Step 1480 Total energy -333.552831346056
Step 1490 Total energy -333.552544409563
Step 1500 Total energy -333.562793235073
Step 1510 Total energy -333.578185133074
Step 1520 Total energy -333.591331671928
Step 1530 Total energy -333.607995939778
Step 1540 Total energy -333.633089100322
Step 1550 Total energy -333.661779523703
Step 1560 Total energy -333.6927974039
Step 1570 Total energy -333.73025911948
Step 1580 Total energy -333.766143573552
Step 1590 Total energy -333.798894477494
